Id,Tweet,Hate,Fake
6963,ye kam to ak hi admi kar sakta hai,0,0
3218,pehle toh samjh nhi aa rha ki corona kaha se aaya jamaat se ja nri leke aaye aur china mein bhi jmaati ke log rehte hai kya educated log bhi kya baat kar rehe hai lag hi nhi raha yeh reporter hai aanp,0,0
1411,apne un abba ke liye bhi kuch bol lo jo tabliki jamaat ke log hain jinone pure desh main corona falaya hain jabardasti,1,1
3316,g tumhare masjid ko hats k mandir bana rahy hy corona viraus pori duniya mai geya lekin india mai jab geya kehty hai ky tablighi,0,0
7346,saala inn police waalon se chorr teekh se pakda nhi jaata aam aadmi jo mehnat karr ke khaate hai unn loggon ka uper aatyachaar karte hai sabko naukaari se nikalna chayiha,1,1
890,jamaat ko corona warriors kahne wale wahi hnjo rahul gandhi ko desh ka pm samajhte hn,1,1
6265,yeh aurat toh openly dusre non muslims ke religion ko shaitan ko follow karnewale keh rahi hai,1,0
7105,log akal se kam le govt ki trf se kari ja rhi dharam ki gandi rajneti se bachey sabhi,1,0
6904,mujhe kabhi kabhi lgta h ki yhi sb devils h dharti p,0,0
2070,lekin bharat me kuch musalman jo tabligi jamaat se judde hai wo jaanbujh kar corona virus india ke har city me faila rahe hai amp doctors pe attack kar rahe hai uske baare me bhi kuch bol lo saale bhaddwe,1,1
7876,south indians should be treated like dogs inko sar pe bithao toh bakchodi kar rahe inko aisa maaro west north and east india mei inko chhodo telugu kannada walo ko bhi bajaa daalo,1,1
4817,firse zinda ho gye boycott valepathaan ne jo khulke mari tum logon ki bhul gye kyakoi nhi jawan ka promotion start kardo,0,0
197,wah re godi media tuj c grade ho china udhar ghuskar india ki jameen dakhal kar liya hai aur tum sarkar ki ye nikammipan chupaney ke liye pakistan ko yaad kar liyasudhar jao warna corona virus tumharey picha nahi choddega,0,0
4546,sir kya ye crime against india nahi hai nrc anti farmers protests greta toolkits aur ab congress toolkit fake news false narratives jisko aap gidhha patrakarita batate hai in par koi bhi action nahi hota sar,1,0
7070,op thumbnail ankur bhi,0,0
416,in jaise afsar ko china border par chodkar mouth me corona virus dalkar nanga kar ke chod dena chahiye,0,1
2184,jamaat wale leader ka bhashan hai vedio jisme wo bol raha hai ki agar marna hi hai to masjid mai maro khud gayab hai itne logo ko corona karvakar fruit vegetables bechne walo ke vedio hai thook lagate hue itna jaati hai,1,1
7868,sari state de sare chutiye insaan apne app nu maahan te duje nu maada keh rhe aa sale pagal log bai ral mil k rehna sikh lo awi ek duje nu kyu nindi jane o apni language te apni state nal sareya nu pyaar aa par ehda mtlb eh ni ki duje state loka nal nafrat karn lag jao,1,1
4662,jo farmers itna sab afford kar sakte hain unhe bill se problem kaise ho sakti hai fakefarmersprotest,1,1
433,china ka maal chalay to shaam tak nahi to shamshan tak china ka corona virus shamshan ke saath bhi shamshan ke baad bhi b se gali hai dil ki bhadas chinacoronavirus covid covidindia,0,1
2819,one more thing mr raj agar desh main modi aur up main yogi ki govt na hoti toh secularism ke naam par tabliqi jamaat ke saath poori muslim community desh ko corona se full kar deti aur aapke jaise pseudo seculars ghar mein chudi pehan kar b,1,1
5301,abe stocks ke bare mai pata bhi hai shares kyu girta hai short selling kya hota hai padh ke aa basically hindenburg apne hi fayeda ke liye adani ko target kia,1,0
2700,kuch dino pehle ki hi baat hai mai bike ka puncture banbane gaya hua tha woha wo punchre wala naa kewal tablighi ka samrthan kr raha tha balki sarkar ko gaali dete hue bol rha the corona ek sajish maine use aaina dikhaya aur use beijjat,1,1
5661,yeh wohi tihadi hai jisney k note par gps nano chip lagwaya tha internet se love jihad ka chart uthaya tha aur cheeni fauj ko geedad batlaya tha,0,0
3545,bro yeh khalistan jaisa kuch nahi hain tu sab farmers ko khalistani bolke protest ko badnaam kar rahan hain,0,0
7485,jab account fake nikla tab kya karne ke liye vdo banaya apne mtlb dukan chalti rhe,0,0
5577,wale note me nano chip gps g aur hindu nazism bhi hai,0,1
1109,aaj desh me corona k failane ka karan muslim aur tabliqui jamaat hai be su ar galat tathya mat diya kar,1,1
5925,tu to molbi ke,0,0
7818,ham log bharat mein nahin rahenge hamen apne alag desh chahie bharat mein ham log nahin rahenge ab mod,0,1
5703,ke note mein jo nano gps chip lagiu huwi hai na usey apne peechu daal lo waise bhi sharam toh hai nahi aapko,1,1
6585,ye jo background music bajta hai ye sala aatankwadiyon ki tune hai jahan bhi sunai de wahan se nikal aao bas,1,0
5304,both mc bhagwant and fattu amritpal eat kasam of bhagat singh,0,0
3711,ye farmers protest main khalistan khalid saifi sarjil imam umar khalid delhi riot sahinbagh ki baat kyun chal raha hai aur unki rihai ki baat kyun kya ye sab farmer hai kya sir ji plz answer,0,0
1196,ye neha ki aad me jahil corona jamaat ka iqbal bhi ho skta hai,1,1
2580,aapko pata rhna chahiye ki aur sab log jo dusri jagah teerthreligious tour par gye thhey government ke corona message ke baad sab waha se chale gye but tabligi jamaat ke log masjido me hi jama rahe gajab hai kuch jal ke paalghar incident par v bolo hai himmat,1,1
4488,modhalla andha fake farmers protest ah thadukka sollu unnoda modi ji ahthodai nadungi chaiwala pm dhaan avandesathai oruginaithu kilipaan unga chaiwalathuuu,1,1
605,tablighi jamat me jayega corona phelane ke liye,1,1
3591,aur agar vardi pehan kar bjp kien aadmi gayen hai toh aur kar bhi kya saktien hai jab khalistan samarthak kisan ban kar utar saktien haitoh yeh modi hai police ki weakness ko strengthen karna aata ha uskopehl,1,0
881,rahulji ne tabliqi jamaatio pe kuch nahi kaha desh ke sare corona case me tabliqi jamaat ke hai,1,1
1220,jara btayengi ap dusre deshon me kis jamaat se corona faila haimind ka balance banakr kuch bhi bola kijiye,1,1
7558,its not pakistani but islamic,1,0
5004,sahi pakde hai bhai filhaal srk aur pathaan ke naam se pel raha ho modi ke bhakto ko aur boycott gang ko,1,0
2174,taaza samachar hain ki arogya setu ka ramsetu se gahra sambandh hain isliye rahul aur obaishi ne ise secularism ke liye khatra samajh liya hain inki secular jamaat corona se mar sakte hain secularism ki kimat per,1,1
5307,lagta hai nasha bandi sirf janta ke liye ki gayi hai bihar mein police department ke tweet to yahi bata rhe hain hafte se behke behke tweet dhamki paise jabt karna ka ho ji tabiyat thik hai na,1,0
5122,kahan bil me bait k rr kar raha hai be bahar aa suar ki aulaad sanjeev takle pathaan ne cheel haran kardiya tere boycott ka bhikmanguae,1,0
2025,cchup bhe jamaat ki baat isliye uthayigayi kyuki corona kit ghotala chupana tha sarkar ko matrix company ke sath jo milkar kiya tha pooch tere baap se ghotala kitna crore ka hai,1,1
7124,mujhe ye samajh me nahi aa raha k agar woh masjid v hota to musalman kaise doshi hote iska matlab aage jaake agar koi durghatna ghatti hai aur waha masjid hota h to us durghatna ka seedha jimmedar musalman hogabrgajab hai ye andhbhakt aur gajab hai inki soch,1,0
5203,pathaan ne takle aur boycott gang ki ga faad di,1,0
4623,bilkul sahi abhi momtta begum ka neend ud jaayega sab parties ko bulayegi aur fake farmer protest ko bandd kr denge agle hafta secret mat reveal karo bhai,1,1
3542,mai farmers ke khilaf nhi hu pr jo khalistani supporter hai uski jagah india me nhi hai saal tak protest nhi hota agar modi tumhare bare me nhi soch rha hota khalistan ke baato me akar farmers ne hinsa,1,1
1707,tablighi jamaat bhi aagayi kisi ko toh chod de bhaisaad ne corana phelaya shayad corona made in nizamuddin hai koi bhi bhagwaan ke chahe bager nahi phelti,1,1
1159,kiya na tablighi jamat walo ka bachav aur corona failane me help kya baat karte hai sahab aap bhi ki inhone kuch nhi kiya,1,1
4797,pathaan jawan aur dunki ka jalwa apko agle saal dikha denge prachi ji pathaan ka boycott karne ke liye shukriya,0,0
4130,bhaii jaan kisi bhi ki jaaye wo insaan ki jaan hai but har chiz ko religion ki nazar se dekhna sirf up ke bareilly m jan july m case hue h love jihad ke uske baad dumka m jo hua hindusunderattack,0,1
6761,ye kya chutiyapa hai,1,0
4372,bhopdike pehle farmers protest mei meddle karke munh ki khayi aab is fake hashtag run genocide mei khayega rihanna se kab post karwa raha hai aur woh ramp pornstar se bhi waiting for to join the bandwagon,1,0
4234,fansi honi chahiye shahrukh hussain and noor mustapha ko hindusunderattack hindulivesmatters justiceforankitakumari justiceforankita,1,0
5115,jab se pathaan ne bhakton ki bajae hai tab se twitter per boycott gang gayab ho gaye hai,0,0
3967,dhendra shastri ko arrest ker tab hi thik hai jab bajinder singh to bhi arrest kerne ka guudaa hoo yeh doogalapan theek nahi hai hindusunderattack hindus biblebuild hinatahyuga,0,0
6520,tumhari bhi gharwapasi karana hai,1,0
1870,ye haal hai inka tablighi jamaat jihaadiyo me ye kida hai unhe koi roke to us kaam ko or bhi shiddat se krte hai jaise they spreading corona jihaad,1,1
6130,tomhara madarchod allah saitan hey kew ki iblish jeen thabut allah ne iblish ki dil mey jake adom ko sejda nehi koraye aur iblish saitan bana allah hi saitan hey madarchod muslim mahazab ki animals,1,0
6240,ye kb aaya,0,0
7245,kya galat hai desh ke gaddaroon ko goli maaro mei tho yeh kahoon ki seedha gaand mei maaro,1,1
4576,hr bhi nahi hue lg ko sara kiya dhara lg pe kejriwal ki phir photo laga lo ghar pe pooja karo free ki bijli paani k liye delhi dango k liye fake farmer protest k liye high court k judges ko bribe dene ki koshish k liye,1,1
4960,pathaancr celebrate to aise kar rahe jaise tumhe bhi mil jayega titfortat ke chakkar mein ghanchakkar mat bano yaar na boycottpathaan wale boycottgang ko kuch mila hai na pathaancrores celebrate karne walo ko kuch milega sudhar jao bhai sosorry,0,0
905,sahi mane me to sabse jayada corona se tablighi jamat lad raha hai chamcho,1,1
1447,bilkul sahi bola hamid sahaab ne yeh virus savi jaga faila hai corona ko tv channels ne tabliqi jamaat se jorkar aage barah di hai,1,1
7501,my heart king kohli,0,0
7279,in charan chumabko ka kam hi yahi hai,1,0
5167,gawar log imbd par pathaan ko rating de rahe hai jab hamne thearter mein movie blockbuster bana di toh imbd pe kyon peeche chode sabhi bhai boycott gand ki bawasir badhane ka kaamkare aur rating de pathaan,1,0
6471,kuch bhi mtlb naya word hi nikal diya apne man se or hypocrisy to dekho inki,1,0
2717,bas dikhadi aukat tum log achche se jaante ho ke tumne saari baat jamaat ke upar nhi daali to or koi bahana to hai nhi tumhare paas doctors ko samaan de nhi paa rhe ho or kehto ho,1,1
6077,jai sree ram pade hanuman ur sunghe musalman brkattuwa ur kasayi majhab nhi sirf sanatan dharm hota h jai sree ram,1,0
1566,kunalkamra sara media pareshan hai ki gujrat ko kaise corona amp tableegi jamat ka connection miley jaise hi koshish karte hain baar baar americee jamaat mil rahi hai,1,1
3788,maamitne saal aap log ne commission pe zindagi jee leeabhi kisan ko apni marzi se jene doaap kisi ko bi kisan ki nahi apni commission ki padi haiaur farmers protest me khalistan ki pakistan taraf se,0,0
7530,aagya quont apne baap ko defend karne,1,1
4208,ham hindu hai mulla nahi sale ye log to katua hote hai hindutva hindurashtra hindusunderattack hindulivesmatters rss hindutva,1,0
3559,yeh sab kaam bjp waale kar rhe h khalistan koi nhi maang rha yeh propoganda bjp ne banaya to break the protest rape jisne kara usse saza do iska matlab yeh hogya ke saare farmer rapist hogye phir to p,1,0
5068,dil ko tasalli dele beta abi tere jse boycott gang ke muh pr jhoota to pad hi gya h pathaan k hit hone se ab aur insult krwane ko doosro ki post me na ghus,1,0
7212,andhbhakt be like ye bhi chal fel ho gaya,1,0
2587,yaha par saaf saaf tum talibani jamaat keh rahe ho aur mukar rahe ho aur tum tay karne wale hote kon ho ke tablighijamaat ne corona felaya hai jab pehla case india main aaya tha woh kaha se aaya tha kyo tab sabhi international fl,1,1
3699,o chacha mai khud ek farmer ka ladka hu smjhe or khalil imam pe desh droh ka aarop hai chacha or chacha farmer protest me khalistan ki maang kaha se aagai,1,1
6957,youtuber hoga braaj dekhte hai ki slender ka kya hoga ke niche rkhne se,0,0
6058,tum musalman larki o dek k hi ghin ata hai sala penguis tumhe hum hindu larka ghum k bhi na dekhe hindu ka choro tunhara khud muslim bhai hindu christian larki pataraha hai sharam kar bolne sa pehle,1,0
1759,aur wo jamaat wale nahi hai na warna abhi to kuchh aur hi scene hota waha koi corona ka patient nahi paya gaya corona waha pe koi pandemic bimari bhi nahi hai bajao taali,1,1
2961,kyukijahil jamaat hamare desh mein hi haiand sabse badi baatinke supporters har opposition parties mein hain and inko defend karne wale tv debates mein roz dikhayi dete hainin jahilo ka bohot bura haal hogacorona to chala j,1,1
6684,da allah surah number aayat da lesson,0,0
3246,ab madarsachaapo ko koi batao jamaat wale bhahar desh se corona lekar aaye the bas itna hi nhi jammaat ke baad gaamd utha kar pure bharat me ghum ghum ke corona failaya bas itna hi nhi thuka bas it,1,1
6948,koi youtuber experiment kar raha hoga,0,0
6709,islam ek bimari hai kaash chaina jaisa dawai saari duniya karna chalu kare,1,0
7035,jay shree ram,0,0
255,kharab modiji ke karan nahi corona virus se hua jo china ki den hai pure world ko,0,0
3892,hindusunderattack sbhi ko modiyabind ho gya h kisi ko kuch nhi dikhayi dega,0,1
1114,agar tablighi hote to corona warrior pe spit karte unhe attack karte fir kya unki aarti karte,1,1
2923,babita tu bhi kaan kholke sunley jo yeh teri bakwas hai na ke tableeqi jamaat k wajah se corona fail raha toh kya kanika kapur ne jo sabko bulake nachwaya kyu woh b tableeqi jamaat se thi kya aur yeh virus koi dharmjaat paat dkh kr na,1,1
222,itna bewkuf to nahi hai duniya ye china isly kar raha taki duniya k najar china se hat jaye jo usne corona virus se failaya tha india ko distrb china isly kar rha taki logo ka corona se dhyan hat jaye china ko le kar,0,1
268,jis tezi se corona ke mareez barh rahe heto hame is dua ko ziyada se ziyada share karne ki zaroorat he plz share as much as possible chinese corona virus se hifazat ki dua how dangerous is chinas wuhan via,0,0
108,haan bhosdike usi corona virus ko maarne ke liye ab poora world ikattha ho raha hai ab saari countries saath mil kar tere china ki maarengi aur tera pakistan jo ek gulaam kutte se zaada kuch nahin ba,1,1
5352,bbcdocumentary baare mein adanihindenburg ke baare mein press meet rakne ka modi ko himmat heyagar nahi hai faaltu wohi hai simple modiadanibhaibhai,1,0
1227,yes maam agar tablighi jamat me ane wale foreigners ko visa nahi mili hoti then corona to hota hi nahi indiafightscorona,1,1
2230,tumhara matlab ye corona viruschina se tabligi jamaat wale zaan buj k laye hai india mai fahlane k liye thora sa toh dimag lagao or socho ye bimari kisi ko v ho sakti h,1,1
4705,inka bhi shaheenbaug honewala hai aur darzano me sardar ki zargarwalia niklengifakefarmersprotest,1,1
6208,muslim larki abi hindu larke ka sath ya alla,0,1
5689,ye bhi padha ye to cover up krne ke liye tweet kiya hai clearly likha hai pehle tweet me koi aur galat kyu samjhega ab logo ne pakad liya to bol rhe ki mujhe badnaam kar rhe ha ha janta bewakoof nhi hai pehle bhi pagal bn,0,0
1513,jitna time aap tabligi jamaat pe de rahe ho utna apne area me dete to delhi me corona ko aur ache se rok patekhairr sabhi ek thali k chatte batte hai,1,1
4880,wo sab choro ye btao boycottjawan kab se trend kare jaise boycott pathaan karke pathaan flop karwa diya waise hi jawan ka karege ye bhi flop ho jayegito kab karna hai ye btaiye,0,0
1996,jo virodh karta h wahi sabse phale lega ye dawa but virodh to aise karte h jaise unlogo ko corona hoga hi nhi jamaat k time ye sab log support kr rhe the jamaat ka ab dawa ban gya h to virodh kr rhe h,1,1
304,modi ji china ne hi corona virus ko banaya hai jisake kayee pramaand mile hai,0,1
1935,abhi tak yah samajh mein nahin aaya ki jamaat wale logo ke liye sarkar ne kya kadam uthaya hai unka ilaaj karva rahe hain taki dusre bar fir vahi kam karen jo abhi kiya hai corona failana,1,1
4100,tum paisay k liye kuch b karay ga dik gaaya indiatv pay hindusunderattack,1,0
2119,namaste trump ka asar ab dikh raha hi gujarat mecorona ke saath tabliki jamaat to ek bahana hi american trump ke sath india aye aur kisi ki screening nhi ki gyi thikhair bewakoof janta ko aur bewakoof banaya ja ra hi,1,1
2224,tablighi corona badha rahe he chaio hum milke desh jalaye or desh todejooth felae or danga karvaye kyun ranaji augsaffronday augvijaydiwas augramrajyareturns augjaishree,1,1
4451,yehi toh tere tweet se chahiye thaab batta fake farmer protest aur ka sambandh haikhakistani tshirt pehenke aaye haisab agenda samajh mein aaya haiissiliye khakista,1,1
1211,not for india for jamaat for jamaati jo saare des main chutiyapa aur corona failaati,1,1
2143,waah re andhbhakton jb tablighijamaat jamaat waalon ko corona hua tha wo desh ke dushman or ab zeejamaatiun ko corona hua hai to warriors gajab kamaal krte hai andhbhakt log bhi zeenewssealkaro,1,1
3383,sar tan se juda b toh nhi dikhe bhaarat tere tukde aur tumhara favourite shaheen bagh kaand ab sabkuch kse chote se video mei aayega,1,0
4217,bhaiyaa uth jao ab to justiceforankita islamicterrorisminindia hindusunderattack hindulivesmatters,0,1
1437,sabse khatarnak virus tabligi jamaat hai corona ka sirf bahana hai tabligi jamaat jindagi bhar nahi sudhrenge jai hind jai shri ram,1,1
3965,logon ki jaan gayi peeche saalon mein jisme kashmiripandit bhi the baaki kashmiri hindu jo ki behad dukhad hai iss par centre ko jarur action lena chahiye hindusunderattack,0,1
5251,hindenburg bewkoof hai adani ki jitni research ki utani silicon valley bank ki hoti to kasam se tum ambani to ban jate bewkoofhindenburg,1,0
6327,ulta chor kotwal ko daate bryou jihadis,1,0
377,yeh sab china ke vajha se hua hai corona virus,0,1
2684,media dikha raha hai corona patient jamaat s hai musalman hai baar chalo apki ye baat mann bhi liya jaye to log konse dharam s hai hindu hai sikh hai isai hair ya bjp rss bajrang dal wale hai apko kya lagta hai yaha muslims ko target kiya ja raha ya nahi rep,0,0
6698,hare krishna hare krishna krishna krishna hare hare hare rama hare ram ram ram hare hare,0,0
3718,arree uncledelhi jakr toh dekhovaha punjab haryana uttar pradesh rajastham sab hhakela punjab nhi hsabhi farmers khalistani nhi h jo protest ko khalistan ka nam diya hhek bar border pr jaake toh dekhiyeyaha twit,1,1
756,tablighi jamaat ke bare me kya khyal hai apka unka bi ilaaj hona chahiye se,1,1
292,yeh china ka bhi kuch samaj nahi aata har cheez main awaal aana hain aur ab jab corona virus ko chinese virus kehte hain toh pala jhad dete hain haan bhai humme bhi vishwas nahi hua tumhari koi cheez itni lambhi chalege ab toh bas kar,0,0
2944,tabligi jamaatio ke liye agenda mat chalao hum logo ko coronavirus hoga to chhupange nahi khud hospital jayege tourist visa par jamaati banane nahi jate hai thookmootgoo patthar bantabligijamaat arrestmohammadsaad jaheeljama,1,1
3974,i dont know who is he but mentality to saaf h ki esh bhai ko aur hame bhi sachet kr deya khud se hindusunderattack,0,0
1544,inko nahi pata tha ki saheb ke me bhi corona ho sakta h chtne se pehle sanitize karna bhul gaye corona jamaat ki news dikhane se to nahi hua,1,1
